id,RMSE,MAPE
Afghanistan,7.1531593371488175e-06,0.00024245009967903958
Angola,1.2561881244930468e-05,0.0007327473808021486
Albania,0.02255386243814489,0.0017529963597655257
Andorra,0.0024521280345501835,0.0009747870841936122
United Arab Emirates,0.1474522111453283,0.0022965287928207343
Argentina,0.23520845467925133,0.0011318447866553553
Armenia,0.01352439054608867,0.0006384724151396667
Antigua and Barbuda,0.031574090284598566,0.06454979120539948
Australia,1.3889618282868521e-06,0.00016905546393712384
Austria,0.019962679316556764,0.0007586600426559829
Azerbaijan,0.0002153708180388798,0.00012633261247367415
Burundi,3.181547863526406e-05,0.007370218716129228
Belgium,0.7963239561853597,0.0030011203043751955
Benin,0.011486837992691517,0.049344330082020375
Burkina Faso,3.2262230324304995e-05,0.0014974927729100266
Bangladesh,6.61698196495763e-05,0.00013222816929886737
Bulgaria,1.0603337950899252,0.006131738252021842
Bahrain,0.01699924986844708,0.000999186577804782
Bahamas,0.003756017498794975,0.0029755830141141694
Bosnia and Herzegovina,0.2699781665441281,0.004682171970555535
Belarus,0.04376261335610412,0.0016379926238175
Belize,0.00071900136379045,0.0009445667640477605
Bermuda,0.00020812351639419309,0.0035700721071610475
Bolivia,0.05737745110560583,0.002377531199276058
Brazil,4.536388271758548,0.0021672802488361116
Barbados,0.0018232861713033772,0.00572626862972497
Brunei,2.977286699387958e-05,0.015487002482102904
Bhutan,1.4013139780311842e-05,0.0032991091025772698
Botswana,0.4745228210718605,0.029203530821705823
Costa Atlantica,9.441979038806533e-05,0.00039478878799842083
Central African Republic,1.1149851751092096e-05,0.0009925152284838534
Canada,0.005521467054784026,0.0004036631235268073
Switzerland,0.04742750310781094,0.0009161179181659283
Chile,0.08670196634552751,0.0011420719328686108
Cote d'Ivoire,0.006774385784717534,0.008151271282151993
Cameroon,0.0646362976363206,0.025385367416520872
Democratic Republic of the Congo,0.002419734124466185,0.011544983721981289
Republic of the Congo,0.020002479749377064,0.030094323468173444
Colombia,0.07844327282499311,0.0005283888337164027
Comoros,0.0005464917938696115,0.005194551567656988
Cape Verde,0.0030339149987823042,0.0021413132401747422
Costa Rica,0.26200992212105784,0.0037119791934564733
Cuba,0.012210377929780006,0.006476496063132511
Cyprus,0.00895300879114411,0.0024124755712647216
Czech Republic,1.827766391536908,0.0029185762433912976
Germany,3.210258700050619,0.004690188477597598
Djibouti,5.238035647246009e-05,0.0007959621768532847
Dominica,0.0006486163051608077,0.033325750600781315
Denmark,0.0008035467093302276,0.00025872033543065617
Dominican Republic,0.005795840188799176,0.0008811587853915772
Algeria,2.37979490072908e-05,0.00021726198488921893
Ecuador,0.04051922887285552,0.002250263502773192
Egypt,2.1271830194782054e-05,0.0001770322482711314
Eritrea,0.004614723298725008,0.04719717560532982
Spain,97.12305684728979,0.01967977340591505
Estonia,0.27096754114697696,0.006726605478323099
Ethiopia,0.0007385727756912775,0.0015586988799831173
Finland,0.014213955801384015,0.004279315552325969
France,1.673405424931238,0.002046540257129411
Gabon,0.011559627028785113,0.008861483490042807
United Kingdom,0.1257060857223369,0.0005213350197719167
Georgia,0.004244355836995568,0.00033389571797413047
Ghana,0.008950546546687898,0.0046803584196185065
Guinea,0.0003269657779716246,0.003232285756004187
Gambia,0.0006655216051111497,0.006737404277044219
Guinea-Bissau,0.0006787415674637579,0.008341156583258555
Equatorial Guinea,0.0011304164286576467,0.00515367291158921
Greece,0.11087236107220777,0.004338700404394038
Guatemala,0.00626754462175974,0.0014185344268880253
Guam,0.0012430554964131303,0.0012686573927478627
Guyana,0.0026392675775734143,0.003358712249194875
Honduras,0.018577266367680825,0.0020196793805604745
Croatia,0.0130416596583717,0.0007355809404797584
Haiti,0.0006607983610605672,0.005869605646649093
Hungary,0.22420234781338447,0.002988172120318838
Indonesia,0.023338495333034295,0.001336428541960922
India,0.005390008788734285,0.0001801884809009555
Ireland,0.013457312860145104,0.0009116307929135972
Iran,0.0018074470775011405,0.00020349651407725286
Iraq,0.08694227075118796,0.0018264618077351873
Iceland,0.00028683131588827596,0.0012339230297128236
Israel,0.3471775051624649,0.001905581113464153
Italy,0.36262399269969725,0.0011803673764326306
Jamaica,0.021728262554708836,0.006616037990257277
Jordan,0.28892396477149046,0.0031916434312095694
Kazakhstan,0.0030513573884652606,0.0006105662113103864
Kenya,0.0003582043550280476,0.0009764486057099208
Kyrgyzstan,0.0005619391047365995,0.0005403984295659441
Cambodia,0.00025929816833063755,0.05066735532995381
