id,RMSE,MAPE
Angola,8.241358232961544e-06,0.0005560971710072762
Albania,0.004485995556758778,0.0007334907385225341
Andorra,116399.39540100771,8.722123422713716
United Arab Emirates,8214.103147355316,0.7274437883130778
Argentina,89375.07148867291,0.9498439323736463
Armenia,1503.7769990338022,0.3872232223005577
Afghanistan,67.11245861376776,0.8912928606935375
Antigua and Barbuda,114052.6127972914,151.58926687673653
Australia,234.76091994984685,2.636852553093831
Austria,13821.912617367234,0.768528768958374
Azerbaijan,1676.6377387824705,0.5506182862692983
Burundi,955.9003086607004,48.31443168883508
Belgium,38749.45680800377,0.8634201378731264
Benin,869.1089104024642,17.90370090920958
Burkina Faso,443.146135637053,7.810890390124436
Bangladesh,1203.1279714786504,0.8070694800526799
Bulgaria,2844.495011343001,0.573100771251772
Bahrain,164.9677904652554,0.13233711493789188
Bahamas,24400.026018436885,11.38469807730812
Bosnia and Herzegovina,203.04958794246204,0.1976087343049858
Belarus,3399.1151884288697,0.630440119897374
Belize,22689.87166778482,7.574591977918438
Bermuda,171653.01752927015,147.74894883650944
Bolivia,1778.0108164286153,0.5744820620206699
Brazil,515886.0296642846,0.9899683937152408
Barbados,36662.53130065133,34.47218505548081
Brunei,25854.705070728873,564.3328085603254
Bhutan,14512.3276880516,120.53370396675045
Botswana,2589.536847740543,2.6356831320332805
Costa Atlantica,17814684.65738363,706.0815436241611
Central African Republic,2164.4249163537365,20.042886823328743
Canada,15480.966665629996,0.8779542917564601
Switzerland,23936.24375155273,0.8108583014963637
Chile,27293.54013825233,0.8716231237497294
Cote d'Ivoire,210.09799810955496,2.199224779420457
Cameroon,197.6506911915525,2.0175100308701586
Democratic Republic of the Congo,75.84534674101259,3.1042001169045355
Republic of the Congo,1782.9362786386066,10.964686134034206
Colombia,92275.87868567112,0.9531051811431948
Comoros,12489.525502930355,28.71733499700622
Cape Verde,14958.775778412444,5.874482314981435
Costa Rica,1954.2761098790843,0.4841046698888606
Cuba,282.3750300710752,1.1692537726636048
Cyprus,4224.099360024889,2.043635464838682
Czech Republic,119209.6502535624,0.9142864750637246
Germany,65665.27535399521,0.9568175843881453
Djibouti,10310.628761888374,16.34816640958151
Dominica,154978.82389458988,750.0580054648219
Denmark,1907.1553552380578,0.4996283883715445
Dominican Republic,1662.7697143452651,0.5580748530457402
Algeria,1.8178507055045785,0.06674609287852842
Ecuador,1833.4907111634345,0.627069730585754
Egypt,58.90455881793385,0.4197999221839538
Eritrea,1833.5357046938902,36.40704303259955
Spain,198631.7448415887,0.9666000479668135
Estonia,1281.702587336996,0.6495529946961354
Ethiopia,25.212001812248104,0.3328763571122787
Finland,427.0115939552445,0.853223149446855
France,194943.8724160809,0.9716726655701704
Gabon,3907.328718193722,6.280525362712952
United Kingdom,247208.7482261813,0.9746765689337916
Georgia,7291.894408137395,0.6101485949213792
Ghana,17.717518295697385,0.2750023079586822
Guinea,646.7773757406568,5.627229551086651
Gambia,4459.813964265633,21.5970103930443
Guinea-Bissau,5582.992082708881,31.874237205661522
Equatorial Guinea,7563.080701488341,16.55643617078596
Greece,662.7931777982404,0.44421636278903553
Guatemala,273.3292996147278,0.39476853730174877
Guam,57673.110100562226,12.624765854753974
Guyana,12066.613613473102,11.315825573115088
Honduras,421.2253158115309,0.37655376064017687
Croatia,4594.108145139136,0.5654889968190211
Haiti,779.5560573571793,7.498680345493756
Hungary,10476.430872003908,0.7519437687515758
Indonesia,5524.414449168225,0.9202846274342276
India,89210.92362602906,0.9905033028303857
Ireland,2622.286332437493,0.5176990663966705
Iran,28051.19851346638,0.9349921307715915
Iraq,8932.125593565264,0.8476222795573513
Iceland,28042.978714196204,16.40863910566863
Israel,50032.63168226235,0.8635915925923265
Italy,129786.65015467275,0.9637425682244845
Jamaica,2319.626054660281,3.6064117320384113
Jordan,8103.317892266289,0.7287663720509958
Kazakhstan,1334.4308819215616,0.597363618365099
Kenya,0.28730398258440204,0.030915088685686487
Kyrgyzstan,62.59305886632505,0.22261585202802933
Cambodia,675.0304210489262,145.50730231518514
Kuwait,1741.134450520858,0.446465490006655
Lebanon,10324.828439923052,0.7161731422464056
Liberia,2222.6729408025813,51.49092224298374
Libya,116.1500350000232,0.20906436185373417
Saint Lucia,57368.941707305006,30.98150625151835
Liechtenstein,279486.27019388025,40.02154223715438
Sri Lanka,24.940567782648824,0.2791336105029403
Lesotho,4283.623785275306,9.047878057014808
Lithuania,3021.5394980551787,0.4664374975878669
Luxembourg,4201.05100912904,0.9137835372869265
Latvia,216.52127192459008,0.2389286787881233
Morocco,3960.5838634399192,0.7819594818668392
Monaco,277266.37878470606,53.410153647928745
Moldova,2287.409354616269,0.4277124531491456
Madagascar,279.5934154509601,4.310575778538663
Maldives,14309.732886913996,4.379393245419875
Mexico,30795.515186410834,0.9492922693360285
North Macedonia,7.595859326016175,0.033773275533066895
Mali,494.38512890187434,11.55425954699778
Malta,14290.794436477312,3.740524561611776
Myanmar,25.367257411062088,0.2574244254990179
Montenegro,1484.4480142295336,0.40300601534281427
Mongolia,3319.342087159581,35.342409860532825
Northern Mariana Islands,195139.60794539572,739.0620698008145
