id,RMSE,MAPE
Afghanistan,0.0002502771815616033,0.001190394296061629
Angola,0.00012606579508329675,0.0025327725891131827
Albania,0.030071159540827862,0.0030772268062938006
Andorra,0.052356588169381976,0.004879628886014364
United Arab Emirates,0.2563085417706437,0.0030881712367550164
Argentina,0.26000082372938055,0.001605636682001941
Armenia,0.016294393612523442,0.0010901943085209957
Antigua and Barbuda,0.00029703175954967496,0.0182621214745
Australia,3.582480796301823e-07,7.4702434206546e-05
Austria,0.01807319468421116,0.0007673108569089581
Azerbaijan,0.014727467928357284,0.0010552759511213653
Burundi,0.00021422094178827775,0.03531711348003218
Belgium,0.05830961888721813,0.0009486614197302979
Benin,0.0016164221267761106,0.03167010785304244
Burkina Faso,0.0008571601433219531,0.011110308957690957
Bangladesh,0.00039817629633310473,0.00035279806595505954
Bulgaria,0.014521895044823253,0.0009419042730002935
Bahrain,0.025053884131299692,0.0014437542270650018
Bahamas,0.0010970304520522035,0.0021977202015260443
Bosnia and Herzegovina,0.11710286761451848,0.0035076911315306694
Belarus,0.03464315981143367,0.0015813970313015029
Belize,0.009455986711900106,0.003390928281935345
Bermuda,0.007979705724066626,0.028390451462299317
Bolivia,0.07072991776197286,0.003772382232357599
Brazil,5.27600741809508,0.0031073420396824226
Barbados,0.05031649843731856,0.09333709117942106
Brunei,0.0002830753573243584,0.04980160763152016
Bhutan,5.506785200154978e-05,0.0060922710715226236
Botswana,0.33381082385938365,0.02784811051625811
Costa Atlantica,9.441979038806533e-05,0.00039478878799842083
Central African Republic,1.6784655292910264e-05,0.0015063380686635966
Canada,0.1265658959349391,0.0023521940289656113
Switzerland,0.13055593959846248,0.0015387035802511928
Chile,0.04277299676013233,0.0009674457495767142
Cote d'Ivoire,0.001595856247285695,0.0051195439155651175
Democratic Republic of the Congo,2.9298274419006375e-05,0.0018235546934975565
Republic of the Congo,0.011419740530143004,0.01846831343483943
Colombia,0.23411235161616065,0.0014107418622698478
Comoros,0.009554440983863731,0.038572927267064676
Cape Verde,0.00767245634881957,0.00401190506950817
Costa Rica,0.33208936288488816,0.005272149004075527
Cuba,0.019405113709398944,0.012945965345567809
Cyprus,0.002706713810630936,0.0014889548870056094
Czech Republic,4.394473073705539,0.005271972392752343
Germany,2.3626085838017907,0.00504580192398453
Djibouti,4.29352068696331e-05,0.0008204645314633289
Dominica,0.000762303664921466,0.05106117014463061
Denmark,0.09745861049705476,0.002310390757396253
Dominican Republic,0.045559323676634365,0.0029215272424042145
Algeria,1.2207416004038417e-05,0.00015282336300194064
Ecuador,0.07658516752237986,0.0034302415726766384
Egypt,0.00023128956019133418,0.0007656289386626706
Eritrea,0.00614771593224868,0.08061836164484182
Spain,28.20158979953747,0.012323366866004597
Estonia,0.1680199968899394,0.00809911779189354
Ethiopia,0.0005193991477424308,0.0013017889745510804
Finland,0.007410591013548121,0.003806415402255759
France,1.2237142655325497,0.002387785393150962
Gabon,0.002664632119613603,0.005787811851207781
United Kingdom,0.4659706170043297,0.001238267375510482
Georgia,0.26705920908900666,0.0029098709577152376
Ghana,0.008409715659502907,0.005395339067057966
Guinea,0.0001751180716146814,0.0023286693446344232
Gambia,0.000282430973952669,0.004252619001940293
Guinea-Bissau,0.0023821807701626878,0.012498641751992631
Equatorial Guinea,0.0008895080094355252,0.004174852259684061
Greece,0.0043394464226910005,0.0008964160299588835
Grenada,0.00032505402613249793,0.028918776916804653
Guatemala,0.011407394740510656,0.0024237149177016343
Guam,0.0021894525871735695,0.0020801394646255632
Guyana,0.0010243483070323496,0.00310332819358506
Honduras,0.06271042715729883,0.0038599968129453995
